#  Iowa October Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189510,-1.44,-1.82
189610,2.77,2.39
189710,-3.30,-3.68
189810,0.64,0.26
189910,-1.53,-1.91
190010,2.53,2.15
190110,-3.17,-3.55
190210,4.97,4.59
190310,4.67,4.29
190410,-0.40,-0.78
190510,1.60,1.22
190610,0.03,-0.35
190710,2.06,1.68
190810,2.25,1.87
190910,2.06,1.68
191010,-3.94,-4.32
191110,0.72,0.34
191210,-0.21,-0.59
191310,-1.90,-2.28
191410,1.62,1.24
191510,3.86,3.48
191610,-1.58,-1.96
191710,-1.19,-1.57
191810,0.57,0.19
191910,1.48,1.10
192010,-0.82,-1.20
192110,-0.08,-0.46
192210,-1.56,-1.94
192310,-0.13,-0.51
192410,-0.58,-0.96
192510,1.01,0.63
192610,2.05,1.67
192710,-1.16,-1.54
192810,2.63,2.25
192910,-0.67,-1.05
193010,-2.36,-2.74
193110,0.69,0.31
193210,1.63,1.25
193310,-2.95,-3.33
193410,-6.66,-7.04
193510,0.29,-0.09
193610,-3.51,-3.89
193710,-2.72,-3.10
193810,0.78,0.40
193910,-2.70,-3.08
194010,-2.82,-3.20
194110,2.70,2.32
194210,1.87,1.49
194310,1.77,1.39
194410,2.16,1.78
194510,1.55,1.17
194610,1.88,1.50
194710,-2.53,-2.91
194810,-2.81,-3.19
194910,-1.67,-2.05
195010,-1.08,-1.46
195110,4.59,4.21
195210,-1.62,-2.00
195310,-3.21,-3.59
195410,1.61,1.23
195510,-3.37,-3.75
195610,-6.41,-6.79
195710,0.43,0.05
195810,-0.95,-1.33
195910,1.68,1.30
196010,2.25,1.87
196110,2.85,2.47
196210,0.27,-0.11
196310,-2.07,-2.45
196410,0.53,0.15
196510,3.20,2.82
196610,-1.50,-1.88
196710,-0.40,-0.78
196810,1.61,1.23
196910,2.97,2.59
197010,1.82,1.44
197110,0.18,-0.20
197210,3.08,2.70
197310,4.24,3.86
197410,2.07,1.69
197510,-2.11,-2.49
197610,-2.98,-3.36
197710,2.85,2.47
197810,2.35,1.97
197910,2.87,2.49
198010,0.10,-0.28
198110,1.64,1.26
198210,3.77,3.39
198310,2.20,1.82
198410,2.55,2.17
198510,1.02,0.64
198610,4.06,3.68
198710,1.03,0.65
198810,-4.64,-5.02
198910,-3.88,-4.26
199010,2.28,1.90
199110,0.79,0.41
199210,2.41,2.03
199310,7.86,7.48
199410,1.99,1.61
199510,-1.01,-1.39
199610,1.39,1.01
199710,-0.48,-0.86
199810,2.52,2.14
199910,-1.10,-1.48
200010,-1.27,-1.65
200110,-0.35,-0.73
200210,0.78,0.40
200310,-1.86,-2.24
200410,1.32,0.94
200510,-1.43,-1.81
200610,0.57,0.19
200710,4.01,3.63
200810,5.18,4.80
200910,5.67,5.29
201010,5.74,5.36
201110,-1.93,-2.31
201210,-4.09,-4.47
201310,-2.20,-2.58
201410,3.69,3.31
201510,3.40,3.02
201610,4.40,4.02
201710,1.99,1.61
201810,5.14,4.76
201910,5.41,5.03
202010,-1.19,-1.57
202110,0.90,0.52
202210,-2.33,-2.71
202310,-2.66,-3.04
